,stateDt,clearCnt,examCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate
1110,20200101,1.0,1.0,,,,,
1109,20200202,2.0,2.0,,,,,
1108,20200203,,,,,,,
1107,20200204,,,,,,,
1106,20200205,1.0,40.0,,,,,
1105,20200206,1.0,169.0,,,,,
1104,20200207,2.0,327.0,,,,,
1103,20200208,2.0,939.0,,,,,
1102,20200209,3.0,888.0,,,,,
1101,20200210,3.0,531.0,,,,,
1100,20200211,4.0,762.0,,,,,
1099,20200212,7.0,785.0,,,,,
1098,20200213,7.0,562.0,,,,,
1097,20200214,7.0,535.0,,,,,
1096,20200215,9.0,558.0,,,,,
1095,20200216,9.0,485.0,,,,,
1094,20200217,10.0,708.0,,,,,
1093,20200218,12.0,818.0,,,,,
1092,20200219,16.0,1149.0,,,,,
1091,20200220,16.0,1860.0,,,,,
1090,20200221,17.0,3180.0,,,,,
1089,20200222,18.0,6037.0,,,,,
1088,20200223,18.0,8057.0,,,,,
1087,20200224,22.0,11631.0,,,,,
1086,20200225,22.0,13880.0,,,,,
1085,20200226,24.0,20716.0,,,,,
1084,20200227,26.0,25568.0,,,,,
1083,20200228,27.0,30237.0,,,,,
1082,20200229,28.0,35182.0,,,,,
1081,20200301,30.0,33360.0,,,,,
1080,20200302,31.0,33799.0,4159.0,71580.0,109591.0,75792.0,5.5573147561
1079,20200303,34.0,35555.0,4750.0,85484.0,125851.0,90296.0,5.3291397182
1078,20200304,41.0,28414.0,5255.0,102965.0,136707.0,108293.0,4.9199855946
1077,20200305,88.0,21810.0,5643.0,118965.0,146541.0,124731.0,4.622748154
1076,20200306,108.0,21832.0,6134.0,136624.0,164740.0,142908.0,4.3972345844
1075,20200307,118.0,19620.0,6605.0,151802.0,178189.0,158569.0,4.2675428362
1074,20200308,130.0,19376.0,6954.0,162008.0,188518.0,169142.0,4.2177578602
1073,20200309,166.0,17458.0,7165.0,171778.0,196618.0,179160.0,4.1203393614
1072,20200310,247.0,18452.0,7212.0,184179.0,210144.0,191692.0,3.9193080566
1071,20200311,288.0,18540.0,7407.0,196100.0,222395.0,203855.0,3.8041745358
1070,20200312,333.0,17727.0,7470.0,209402.0,234998.0,217271.0,3.6217442732
1069,20200313,510.0,17940.0,7402.0,222728.0,248647.0,230707.0,3.4584993086
1068,20200314,714.0,17634.0,7300.0,235615.0,261335.0,243701.0,3.3180003364
1067,20200315,834.0,16272.0,7253.0,243778.0,268212.0,251940.0,3.2396602365
1066,20200316,1137.0,14971.0,7024.0,251297.0,274504.0,259533.0,3.1733922083
1065,20200317,1401.0,17291.0,6838.0,261105.0,286716.0,269425.0,3.088057901
1064,20200318,1540.0,16346.0,6789.0,270888.0,295647.0,279301.0,3.0121625056
1063,20200319,1947.0,15904.0,6527.0,282555.0,307024.0,291120.0,2.9420857378
1062,20200320,2233.0,15525.0,6325.0,292487.0,316664.0,301139.0,2.873091828
1061,20200321,2612.0,15704.0,6085.0,303006.0,327509.0,311805.0,2.8219560302
1060,20200322,2909.0,14540.0,5884.0,308343.0,331780.0,317240.0,2.8045013239
1059,20200323,3166.0,13628.0,5684.0,315447.0,338036.0,324408.0,2.7622623363
1058,20200324,3507.0,15440.0,5410.0,324105.0,348582.0,333142.0,2.7126570651
1057,20200325,3730.0,14278.0,5281.0,334481.0,357896.0,343618.0,2.6590574416
