stateDt,careCnt,resutlNegCnt,accExamCompCnt,accDefRate
20200302,4159,71580,75792,5.557314756
20200303,4750,85484,90296,5.329139718
20200304,5255,102965,108293,4.919985595
20200305,5643,118965,124731,4.622748154
20200306,6134,136624,142908,4.397234584
20200307,6605,151802,158569,4.267542836
20200308,6954,162008,169142,4.21775786
20200309,7165,171778,179160,4.120339361
20200310,7212,184179,191692,3.919308057
20200311,7407,196100,203855,3.804174536
20200312,7470,209402,217271,3.621744273
20200313,7402,222728,230707,3.458499309
20200314,7300,235615,243701,3.318000336
20200315,7253,243778,251940,3.239660237
20200316,7024,251297,259533,3.173392208
20200317,6838,261105,269425,3.088057901
20200318,6789,270888,279301,3.012162506
20200319,6527,282555,291120,2.942085738
20200320,6325,292487,301139,2.873091828
20200321,6085,303006,311805,2.82195603
20200322,5884,308343,317240,2.804501324
20200323,5684,315447,324408,2.762262336
20200324,5410,324105,333142,2.712657065
20200325,5281,334481,343618,2.659057442
20200326,4966,341332,350573,2.635970254
20200327,4665,352410,361742,2.579739151
20200328,4523,361883,371361,2.552233541
20200329,4398,369530,379113,2.527742388
20200330,4275,372002,381663,2.531290694
20200331,4216,383886,393672,2.485825764
20200401,4155,395075,404962,2.441463644
20200402,3979,403882,413858,2.410488622
20200403,3867,414303,424365,2.371072072
20200404,3654,424732,434888,2.33531392
20200405,3591,431425,441662,2.317835811
20200406,3500,437225,447509,2.298054341
20200407,3445,446323,456654,2.262325524
20200408,3408,457761,468145,2.218116182
20200409,3246,468779,479202,2.175074395
20200410,3125,477303,487753,2.142477853
20200411,3026,485929,496409,2.111162368
20200412,2930,490321,500833,2.098903227
20200413,2873,494815,505352,2.08508129
20200414,2808,502223,512787,2.060114628
20200415,2750,508935,519526,2.038589022
20200416,2627,513894,524507,2.023423901
20200417,2576,521642,532277,1.998019828
20200418,2484,530631,541284,1.968098078
20200419,2385,536205,546866,1.949472083
20200420,2324,540380,551054,1.937015247
20200421,2233,547610,558293,1.913511364
20200422,2179,555144,565838,1.88994023
20200423,2051,563130,573832,1.865005786
20200424,1967,569212,579920,1.846461581
20200425,1843,575184,585902,1.829316166
20200426,1769,578558,589286,1.820508208
20200427,1731,582027,592765,1.811510464
20200428,1654,588559,599311,1.794060179
20200429,1593,595129,605890,1.776064962
20200430,1459,600482,611247,1.761153838
20200501,1454,603610,614384,1.753626397
20200502,1407,608286,619066,1.741332911
20200503,1360,611592,622385,1.734135623
20200504,1332,614944,625745,1.726102486
20200505,1267,620575,631379,1.711175063
20200506,1218,624280,635086,1.701501844
20200507,1135,630149,640959,1.686535332
20200508,1082,635174,645996,1.675242571
20200509,1016,640037,650877,1.665445238
20200510,1008,642884,653758,1.663306606
20200511,1021,646661,657570,1.658986876
20200512,1008,653624,664560,1.645600096
20200513,1008,665379,676341,1.62078005
20200514,969,679771,690762,1.591141377
20200515,937,695854,706872,1.558698039
