stateDt,clearCnt,examCnt
20200205,1,40
20200206,1,169
20200207,2,327
20200208,2,939
20200209,3,888
20200210,3,531
20200211,4,762
20200212,7,785
20200213,7,562
20200214,7,535
20200215,9,558
20200216,9,485
20200217,10,708
20200218,12,818
20200219,16,1149
20200220,16,1860
20200221,17,3180
20200222,18,6037
20200223,18,8057
20200224,22,11631
20200225,22,13880
20200226,24,20716
20200227,26,25568
20200228,27,30237
20200229,28,35182
20200301,30,33360
20200302,31,33799
20200303,34,35555
20200304,41,28414
20200305,88,21810
20200306,108,21832
20200307,118,19620
20200308,130,19376
20200309,166,17458
20200310,247,18452
20200311,288,18540
20200312,333,17727
20200313,510,17940
20200314,714,17634
20200315,834,16272
20200316,1137,14971
20200317,1401,17291
20200318,1540,16346
20200319,1947,15904
20200320,2233,15525
20200321,2612,15704
20200322,2909,14540
20200323,3166,13628
20200324,3507,15440
20200325,3730,14278
20200326,4144,14369
20200327,4528,15219
20200328,4811,16564
20200329,5033,15028
20200330,5228,13531
20200331,5408,16892
20200401,5567,16585
20200402,5828,17885
20200403,6021,18908
20200404,6325,20144
20200405,6463,19571
20200406,6598,19295
20200407,6694,20650
20200408,6776,17858
20200409,6973,15509
20200410,7117,15298
20200411,7243,14070
20200412,7368,13788
20200413,7447,13391
20200414,7534,14651
20200415,7616,15026
20200416,7757,14268
20200417,7829,14186
20200418,7937,13550
20200419,8042,12243
20200420,8114,11981
20200421,8213,12721
20200422,8277,12121
20200423,8411,10139
20200424,8501,9600
20200425,8635,9259
20200426,8717,8999
20200427,8764,8895
20200428,8854,9203
20200429,8922,8307
20200430,9059,8634
20200501,9072,8685
20200502,9123,8496
20200503,9183,8588
20200504,9217,8176
20200505,9283,8858
20200506,9333,8009
20200507,9419,8429
20200508,9484,8867
20200509,9568,9153
20200510,9610,10128
20200511,9632,10922
20200512,9670,16330
20200513,9695,19579
20200514,9762,20722
20200515,9821,19875
20200516,9851,18343
20200517,9888,17660
20200518,9904,16093
20200519,9938,16925
20200520,10066,16351
20200521,10135,18089
20200522,10162,20286
20200523,10194,21569
20200524,10213,20333
20200525,10226,19089
20200526,10275,22044
20200527,10295,21061
20200528,10340,22370
20200529,10363,24557
20200530,10398,26298
20200531,10405,23294
20200601,10422,24058
20200602,10446,28922
20200603,10467,27865
20200604,10499,28199
20200605,10506,28766
20200606,10531,27954
20200607,10552,26481
20200608,10563,24374
20200609,10589,27459
20200610,10611,26223
20200611,10654,25494
20200612,10669,24244
20200613,10691,23352
20200614,10718,21356
20200615,10730,20793
20200616,10760,22632
20200617,10774,21489
20200618,10800,21714
20200619,10835,21190
20200620,10856,21470
20200621,10868,20071
20200622,10881,19403
20200623,10908,22278
20200624,10930,20245
20200625,10974,18900
20200626,11172,18828
20200627,11317,19866
20200628,11364,19005
20200629,11429,18499
20200630,11537,20809
20200701,11613,19526
20200702,11684,19782
20200703,11759,21560
20200704,11811,22321
20200705,11832,21649
20200706,11848,21292
20200707,11914,23675
20200708,11970,24012
20200709,12019,23912
20200710,12065,23527
20200711,12144,22950
20200712,12178,21830
20200713,12204,21845
20200714,12282,24289
20200715,12348,23297
20200716,12396,23404
20200717,12460,23110
20200718,12519,22923
20200719,12556,21953
20200720,12572,21302
20200721,12643,23864
20200722,12698,21751
20200723,12758,21418
20200724,12817,20559
20200725,12866,19681
20200726,12890,19214
20200727,12905,18770
