stateDt,accExamCnt
20200302,109591
20200303,125851
20200304,136707
20200305,146541
20200306,164740
20200307,178189
20200308,188518
20200309,196618
20200310,210144
20200311,222395
20200312,234998
20200313,248647
20200314,261335
20200315,268212
20200316,274504
20200317,286716
20200318,295647
20200319,307024
20200320,316664
20200321,327509
20200322,331780
20200323,338036
20200324,348582
20200325,357896
20200326,364942
20200327,376961
20200328,387925
20200329,394141
20200330,395194
20200331,410564
20200401,421547
20200402,431743
20200403,443273
20200404,455032
20200405,461233
20200406,466804
20200407,477304
20200408,486003
20200409,494711
20200410,503051
20200411,510479
20200412,514621
20200413,518743
20200414,527438
20200415,534552
20200416,538775
20200417,546463
20200418,554834
20200419,559109
20200420,563035
20200421,571014
20200422,577959
20200423,583971
20200424,589520
20200425,595161
20200426,598285
20200427,601660
20200428,608514
20200429,614197
20200430,619881
20200501,623069
20200502,627562
20200503,630973
20200504,633921
20200505,640237
20200506,643095
20200507,649388
20200508,654863
20200509,660030
20200510,663886
20200511,668492
20200512,680890
20200513,695920
20200514,711484
20200515,726747
20200516,740645
20200517,747653
20200518,753211
20200519,765574
20200520,776433
20200521,788684
20200522,802418
20200523,814420
20200524,820289
20200525,826437
20200526,839475
20200527,852876
20200528,868666
20200529,885120
20200530,902901
20200531,910822
20200601,921391
20200602,939851
20200603,956852
20200604,973858
20200605,990960
20200606,1005305
20200607,1012769
20200608,1018214
20200609,1035997
20200610,1051972
20200611,1066888
20200612,1081487
20200613,1094704
20200614,1100328
20200615,1105719
20200616,1119767
20200617,1132823
20200618,1145712
20200619,1158063
20200620,1170901
20200621,1176463
20200622,1182066
20200623,1196012
20200624,1208597
20200625,1220478
20200626,1232315
20200627,1243780
20200628,1251695
20200629,1259954
20200630,1273766
20200701,1285231
20200702,1295962
20200703,1307761
20200704,1319523
20200705,1326055
20200706,1331796
20200707,1346194
20200708,1359735
20200709,1371771
20200710,1384890
20200711,1396941
20200712,1402144
20200713,1408312
20200714,1420616
20200715,1431316
20200716,1441348
20200717,1451017
20200718,1460204
20200719,1465299
20200720,1470193
20200721,1482390
20200722,1492071
20200723,1500854
20200724,1510327
20200725,1518634
20200726,1522926
20200727,1526974
20200728,1537704
20200729,1547307
20200730,1556215
20200731,1563796
20200801,1571830
20200802,1576246
20200803,1579757
20200804,1589780
20200805,1598187
20200806,1606487
20200807,1613652
20200808,1620514
20200809,1624650
20200810,1628303
20200811,1637844
20200812,1646652
20200813,1654898
20200814,1665084
20200815,1675296
20200816,1681787
