,stateDt,decideCnt,clearCnt,examCnt,deathCnt,careCnt,resutlNegCnt,accExamCnt,accExamCompCnt,accDefRate
0,20230420,31039863.0,,,34401.0,,,,,
1,20230419,31025769.0,,,34392.0,,,,,
2,20230418,31009261.0,,,34386.0,,,,,
3,20230417,30994088.0,,,34376.0,,,,,
4,20230415,30978954.0,,,34368.0,,,,,
5,20230414,30967692.0,,,34366.0,,,,,
6,20230413,30956026.0,,,34361.0,,,,,
7,20230412,30944430.0,,,34356.0,,,,,
8,20230411,30930504.0,,,34342.0,,,,,
9,20230410,30918060.0,,,34332.0,,,,,
10,20230408,30904502.0,,,34322.0,,,,,
11,20230407,30894559.0,,,34318.0,,,,,
12,20230405,30871740.0,,,34296.0,,,,,
13,20230404,30857275.0,,,34289.0,,,,,
14,20230403,30843900.0,,,34281.0,,,,,
15,20230401,30829827.0,,,34270.0,,,,,
16,20230331,30820130.0,,,34265.0,,,,,
17,20230330,30809762.0,,,34255.0,,,,,
18,20230329,30798723.0,,,34245.0,,,,,
19,20230328,30785589.0,,,34231.0,,,,,
20,20230327,30773460.0,,,34223.0,,,,,
21,20230325,30759895.0,,,34217.0,,,,,
22,20230324,30749740.0,,,34211.0,,,,,
23,20230323,30739457.0,,,34201.0,,,,,
24,20230322,30728057.0,,,34187.0,,,,,
25,20230321,30714976.0,,,34178.0,,,,,
26,20230320,30702960.0,,,34171.0,,,,,
27,20230318,30690223.0,,,34159.0,,,,,
28,20230317,30681228.0,,,34155.0,,,,,
29,20230315,30662229.0,,,34131.0,,,,,
30,20230314,30650330.0,,,34121.0,,,,,
31,20230313,30638929.0,,,34115.0,,,,,
32,20230311,30625389.0,,,34096.0,,,,,
33,20230310,30615522.0,,,34093.0,,,,,
34,20230309,30605187.0,,,34081.0,,,,,
35,20230308,30594297.0,,,34061.0,,,,,
36,20230306,30569215.0,,,34034.0,,,,,
37,20230304,30555102.0,,,34020.0,,,,,
38,20230303,30543981.0,,,34014.0,,,,,
39,20230302,30533573.0,,,34003.0,,,,,
40,20230301,30526012.0,,,33988.0,,,,,
41,20230228,30513721.0,,,33977.0,,,,,
42,20230227,30502904.0,,,33961.0,,,,,
43,20230225,30489666.0,,,33940.0,,,,,
44,20230223,30469702.0,,,33909.0,,,,,
45,20230221,30445775.0,,,33873.0,,,,,
46,20230219,30429571.0,,,33856.0,,,,,
47,20230217,30408656.0,,,33832.0,,,,,
48,20230215,30384701.0,,,33782.0,,,,,
49,20230214,30369744.0,,,33758.0,,,,,
50,20230213,30355373.0,,,33747.0,,,,,
51,20230212,30350199.0,,,33736.0,,,,,
52,20230211,30338148.0,,,33713.0,,,,,
53,20230210,30325483.0,,,33697.0,,,,,
54,20230209,30311979.0,,,33680.0,,,,,
55,20230208,30297315.0,,,33646.0,,,,,
56,20230207,30279381.0,,,33624.0,,,,,
57,20230206,30263261.0,,,33614.0,,,,,
58,20230205,30257411.0,,,33596.0,,,,,
59,20230204,30243393.0,,,33574.0,,,,,
60,20230203,30228889.0,,,33552.0,,,,,
61,20230202,30213928.0,,,33522.0,,,,,
62,20230201,30197066.0,,,33486.0,,,,,
63,20230131,30176646.0,,,33444.0,,,,,
64,20230130,30157017.0,,,33420.0,,,,,
65,20230129,30149601.0,,,33390.0,,,,,
66,20230128,30130730.0,,,33361.0,,,,,
67,20230127,30107363.0,,,33332.0,,,,,
68,20230126,30075652.0,,,33296.0,,,,,
69,20230125,30040556.0,,,33270.0,,,,,
70,20230124,30021018.0,,,33245.0,,,,,
71,20230123,30008756.0,,,33235.0,,,,,
72,20230122,29999529.0,,,33209.0,,,,,
73,20230121,29982905.0,,,33185.0,,,,,
74,20230120,29955366.0,,,33134.0,,,,,
75,20230118,29898142.0,,,33057.0,,,,,
76,20230117,29861234.0,,,33014.0,,,,,
77,20230116,29821035.0,,,32984.0,,,,,
78,20230115,29806891.0,,,32949.0,,,,,
79,20230114,29774321.0,,,32912.0,,,,,
80,20230113,29737769.0,,,32867.0,,,,,
81,20230112,29698043.0,,,32821.0,,,,,
82,20230111,29654090.0,,,32745.0,,,,,
83,20230110,29599747.0,,,32669.0,,,,,
84,20230109,29539706.0,,,32625.0,,,,,
85,20230108,29520600.0,,,32590.0,,,,,
86,20230107,29473834.0,,,32556.0,,,,,
87,20230106,29420226.0,,,32496.0,,,,,
88,20230105,29363272.0,,,32421.0,,,,,
89,20230104,29299166.0,,,32355.0,,,,,
90,20230103,29220591.0,,,32301.0,,,,,
91,20230102,29139535.0,,,32272.0,,,,,
92,20230101,29116800.0,,,32219.0,,,,,
93,20221231,29059273.0,,,32156.0,,,,,
94,20221230,28996347.0,,,32095.0,,,,,
95,20221229,28931140.0,,,32027.0,,,,,
96,20221228,28859713.0,,,31951.0,,,,,
97,20221227,28772196.0,,,31882.0,,,,,
98,20221226,28684600.0,,,31832.0,,,,,
99,20221225,28659055.0,,,31790.0,,,,,
100,20221224,28600607.0,,,31744.0,,,,,
101,20221223,28534558.0,,,31674.0,,,,,
102,20221222,28466390.0,,,31611.0,,,,,
103,20221221,28390646.0,,,31549.0,,,,,
104,20221220,28302474.0,,,31490.0,,,,,
105,20221219,28214915.0,,,31434.0,,,,,
106,20221218,28188293.0,,,31395.0,,,,,
107,20221217,28129431.0,,,31353.0,,,,,
108,20221216,28062679.0,,,31298.0,,,,,
109,20221215,27995726.0,,,31232.0,,,,,
110,20221214,27925572.0,,,31174.0,,,,,
111,20221213,27841001.0,,,31128.0,,,,,
112,20221212,27754149.0,,,31099.0,,,,,
113,20221211,27728482.0,,,31069.0,,,,,
114,20221210,27674163.0,,,31029.0,,,,,
115,20221209,27611555.0,,,30975.0,,,,,
116,20221208,27548821.0,,,30908.0,,,,,
117,20221207,27483568.0,,,30847.0,,,,,
118,20221206,27408854.0,,,30793.0,,,,,
119,20221205,27331250.0,,,30769.0,,,,,
120,20221204,27308090.0,,,30729.0,,,,,
121,20221203,27261526.0,,,30669.0,,,,,
122,20221202,27208800.0,,,30621.0,,,,,
123,20221201,27155813.0,,,30568.0,,,,,
124,20221130,27098734.0,,,30506.0,,,,,
125,20221129,27031319.0,,,30454.0,,,,,
126,20221128,26959843.0,,,30413.0,,,,,
127,20221127,26937516.0,,,30369.0,,,,,
128,20221126,26890488.0,,,30330.0,,,,,
129,20221125,26837840.0,,,30278.0,,,,,
130,20221124,26784142.0,,,30223.0,,,,,
131,20221123,26725053.0,,,30164.0,,,,,
132,20221122,26654729.0,,,30111.0,,,,,
133,20221121,26581856.0,,,30066.0,,,,,
134,20221120,26558765.0,,,30031.0,,,,,
135,20221119,26512754.0,,,29990.0,,,,,
136,20221118,26462319.0,,,29925.0,,,,,
137,20221117,26412901.0,,,29862.0,,,,,
138,20221116,26357464.0,,,29795.0,,,,,
