,stateDt,decideCnt,deathCnt
1110,20200101,2.0,
1109,20200202,2.0,2.0
1108,20200203,15.0,
1107,20200204,19.0,
1106,20200205,19.0,
1105,20200206,23.0,
1104,20200207,24.0,
1103,20200208,24.0,
1102,20200209,27.0,
1101,20200210,27.0,
1100,20200211,28.0,
1099,20200212,28.0,
1098,20200213,28.0,
1097,20200214,28.0,
1096,20200215,28.0,
1095,20200216,29.0,
1094,20200217,30.0,
1093,20200218,31.0,
1092,20200219,51.0,
1091,20200220,104.0,1.0
1090,20200221,204.0,1.0
1089,20200222,433.0,2.0
1088,20200223,602.0,5.0
1087,20200224,833.0,7.0
1086,20200225,977.0,10.0
1085,20200226,1261.0,12.0
1084,20200227,1766.0,13.0
1083,20200228,2337.0,13.0
1082,20200229,3150.0,17.0
1081,20200301,3736.0,18.0
1080,20200302,4212.0,22.0
1079,20200303,4812.0,28.0
1078,20200304,5328.0,32.0
1077,20200305,5766.0,35.0
1076,20200306,6284.0,42.0
1075,20200307,6767.0,44.0
1074,20200308,7134.0,50.0
1073,20200309,7382.0,51.0
1072,20200310,7513.0,54.0
1071,20200311,7755.0,60.0
1070,20200312,7869.0,66.0
1069,20200313,7979.0,67.0
1068,20200314,8086.0,72.0
1067,20200315,8162.0,75.0
1066,20200316,8236.0,75.0
1065,20200317,8320.0,81.0
1064,20200318,8413.0,84.0
1063,20200319,8565.0,91.0
1062,20200320,8652.0,94.0
1061,20200321,8799.0,102.0
1060,20200322,8897.0,104.0
1059,20200323,8961.0,111.0
1058,20200324,9037.0,120.0
1057,20200325,9137.0,126.0
1056,20200326,9241.0,131.0
1055,20200327,9332.0,139.0
1054,20200328,9478.0,144.0
1053,20200329,9583.0,152.0
1052,20200330,9661.0,158.0
1051,20200331,9786.0,162.0
1050,20200401,9887.0,165.0
1049,20200402,9976.0,169.0
1048,20200403,10062.0,174.0
1047,20200404,10156.0,177.0
1046,20200405,10237.0,183.0
1045,20200406,10284.0,186.0
1044,20200407,10331.0,192.0
1043,20200408,10384.0,200.0
1042,20200409,10423.0,204.0
1041,20200410,10450.0,208.0
1040,20200411,10480.0,211.0
1039,20200412,10512.0,214.0
1038,20200413,10537.0,217.0
1037,20200414,10564.0,222.0
1036,20200415,10591.0,225.0
1035,20200416,10613.0,229.0
1034,20200417,10635.0,230.0
1033,20200418,10653.0,232.0
1032,20200419,10661.0,234.0
1031,20200420,10674.0,236.0
1030,20200421,10683.0,237.0
1029,20200422,10694.0,238.0
1028,20200423,10702.0,240.0
1027,20200424,10708.0,240.0
1026,20200425,10718.0,240.0
1025,20200426,10728.0,242.0
1024,20200427,10738.0,243.0
1023,20200428,10752.0,244.0
1022,20200429,10761.0,246.0
1021,20200430,10765.0,247.0
1020,20200501,10774.0,248.0
1019,20200502,10780.0,250.0
1018,20200503,10793.0,250.0
1017,20200504,10801.0,252.0
1016,20200505,10804.0,254.0
1015,20200506,10806.0,255.0
1014,20200507,10810.0,256.0
1013,20200508,10822.0,256.0
1012,20200509,10840.0,256.0
1011,20200510,10874.0,256.0
1010,20200511,10909.0,256.0
1009,20200512,10936.0,258.0
1008,20200513,10962.0,259.0
1007,20200514,10991.0,260.0
1006,20200515,11018.0,260.0
1005,20200516,11037.0,262.0
1004,20200517,11050.0,262.0
1003,20200518,11065.0,263.0
1002,20200519,11078.0,263.0
1001,20200520,11110.0,263.0
1000,20200521,11122.0,264.0
999,20200522,11142.0,264.0
998,20200523,11165.0,266.0
997,20200524,11190.0,266.0
996,20200525,11206.0,267.0
995,20200526,11225.0,269.0
994,20200527,11265.0,269.0
993,20200528,11344.0,269.0
992,20200529,11402.0,269.0
991,20200530,11441.0,269.0
990,20200531,11468.0,270.0
989,20200601,11503.0,271.0
988,20200602,11541.0,272.0
987,20200603,11590.0,273.0
986,20200604,11629.0,273.0
985,20200605,11668.0,273.0
984,20200606,11719.0,273.0
983,20200607,11776.0,273.0
982,20200608,11814.0,273.0
981,20200609,11852.0,274.0
980,20200610,11902.0,276.0
979,20200611,11947.0,276.0
978,20200612,12003.0,277.0
977,20200613,12051.0,277.0
976,20200614,12085.0,277.0
